iter	Passed	Remaining
0	5	5550
1	10	5256
2	15	5116
3	20	5057
4	25	4986
5	29	4933
6	35	5087
7	41	5094
8	45	5055
9	50	5029
10	55	5016
11	60	5010
12	65	4967
13	70	4943
14	75	4936
15	79	4914
16	84	4906
17	89	4882
18	94	4863
19	99	4851
20	103	4844
21	108	4839
22	113	4835
23	118	4825
24	123	4812
25	128	4806
26	132	4789
27	137	4775
28	143	4790
29	148	4814
30	153	4805
31	160	4840
32	167	4898
33	172	4886
34	176	4880
35	181	4865
36	186	4852
37	191	4850
38	196	4836
39	203	4876
40	209	4907
41	216	4929
42	222	4948
43	230	4999
44	237	5043
45	246	5103
46	251	5093
47	256	5091
48	262	5086
49	266	5072
50	272	5065
51	277	5053
52	281	5037
53	286	5022
54	292	5017
55	296	5004
56	301	4991
57	307	4986
58	311	4974
59	316	4961
60	321	4953
61	326	4945
62	331	4933
63	336	4919
64	341	4911
65	346	4900
66	351	4890
67	355	4878
68	360	4867
69	365	4855
70	370	4845
71	375	4833
72	380	4826
73	384	4813
74	389	4803
75	394	4793
76	400	4801
77	407	4811
78	413	4819
79	419	4823
80	426	4837
81	433	4854
82	439	4859
83	444	4849
84	450	4852
85	456	4847
86	461	4838
87	466	4833
88	471	4826
89	476	4814
90	480	4804
91	485	4794
92	490	4784
93	495	4776
94	500	4765
95	505	4758
96	510	4748
97	514	4739
98	520	4734
99	525	4726
100	529	4717
101	534	4709
102	539	4702
103	544	4691
104	549	4681
105	554	4673
106	558	4664
107	564	4660
108	569	4652
109	573	4643
110	578	4634
111	583	4626
112	588	4616
113	592	4607
114	599	4614
115	606	4618
116	612	4620
117	619	4627
118	625	4634
119	635	4663
120	641	4661
121	646	4656
122	652	4648
123	657	4644
124	662	4637
125	667	4627
126	671	4618
127	676	4609
128	681	4601
129	686	4592
130	691	4587
131	696	4577
132	700	4569
133	705	4560
134	710	4551
135	715	4544
136	720	4536
137	724	4528
138	729	4520
139	734	4513
140	739	4505
141	744	4496
142	749	4488
143	753	4480
144	758	4471
145	763	4463
146	767	4455
147	772	4447
148	777	4439
149	782	4432
150	786	4424
151	791	4417
152	799	4424
153	805	4425
154	812	4428
155	818	4430
156	825	4434
157	832	4436
158	839	4439
159	844	4432
160	849	4424
161	854	4419
162	859	4414
163	864	4407
164	869	4400
165	874	4392
166	878	4384
167	883	4376
168	888	4369
169	893	4363
170	898	4356
171	903	4348
172	908	4342
173	913	4337
174	918	4329
175	923	4325
176	928	4317
177	933	4311
178	938	4304
179	943	4297
180	948	4290
181	953	4284
182	958	4277
183	963	4272
184	968	4266
185	973	4259
186	978	4252
187	982	4245
188	987	4239
189	992	4232
190	999	4235
191	1007	4238
192	1013	4239
